onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
n/a	n/a	LargeLoss	0.052	2	2.002	2.5	4.502	0.274	4.852	1.676	You lose $5!	You pressed too slow!	0	0
n/a	n/a	LargeGain	6.551	2	8.501	1.5	10.001	0.274	10.351	1.676	You did not earn $5!	You pressed too soon!	0	0
n/a	n/a	LargeLoss	12.017	2	14.0	1.5	15.5	0.274	15.85	1.676	You lose $5!	You pressed too slow!	0	0
n/a	n/a	SmallGain	17.549	2	19.499	2.0	21.499	0.344	21.915	1.606	You earn $0.20!	Correct Response!	1	306
n/a	n/a	NoMoneyStake	23.565	2	25.498	2.0	27.498	0.344	27.914	1.606	No money at stake!	Correct Response!	1	275
n/a	n/a	SmallGain	29.514	2	31.497	1.5	32.997	0.344	33.413	1.606	You earn $0.20!	Correct Response!	1	288
n/a	n/a	NoMoneyStake	35.013	2	36.996	1.5	38.496	0.344	38.912	1.606	No money at stake!	Correct Response!	1	276
n/a	n/a	LargeLoss	40.512	2	42.495	1.5	43.995	0.344	44.411	1.606	You keep $5!	Correct Response!	1	289
n/a	n/a	LargeGain	46.011	2	47.994	2.0	49.994	0.364	50.427	1.586	You earn $5!	Correct Response!	1	281
n/a	n/a	SmallLoss	52.06	2	53.993	4.0	57.992	0.364	58.425	1.586	You keep $0.20!	Correct Response!	1	331
n/a	n/a	LargeLoss	60.008	2	61.991	1.5	63.491	0.364	63.924	1.586	You keep $5!	Correct Response!	1	327
n/a	n/a	SmallGain	65.508	2	67.491	1.5	68.99	0.314	69.374	1.636	You earn $0.20!	Correct Response!	1	300
n/a	n/a	LargeGain	71.007	2	72.99	4.0	76.989	0.314	77.372	1.636	You did not earn $5!	You pressed too slow!	0	0
n/a	n/a	NoMoneyStake	79.005	2	80.988	1.5	82.488	0.314	82.871	1.636	No money at stake!	Correct Response!	1	289
n/a	n/a	LargeLoss	84.504	2	86.487	2.0	88.487	0.314	88.87	1.636	You keep $5!	Correct Response!	1	306
n/a	n/a	NoMoneyStake	90.503	2	92.486	3.0	95.486	0.284	95.852	1.666	No money at stake!	You pressed too slow!	0	0
n/a	n/a	SmallLoss	97.502	2	99.485	1.5	100.985	0.284	101.351	1.666	You lose $0.20!	You pressed too slow!	0	0
n/a	n/a	NoMoneyStake	103.001	2	104.984	3.5	108.483	0.284	108.85	1.666	No money at stake!	You pressed too slow!	0	0
n/a	n/a	LargeLoss	110.5	2	112.483	3.0	115.482	0.284	115.849	1.666	You lose $5!	You pressed too slow!	0	0
n/a	n/a	LargeGain	117.498	2	119.481	1.5	120.981	0.284	121.348	1.666	You did not earn $5!	You pressed too slow!	0	0
n/a	n/a	LargeLoss	122.997	2	124.98	1.5	126.48	0.324	126.88	1.626	You keep $5!	Correct Response!	1	286
n/a	n/a	LargeGain	128.496	2	130.479	1.5	131.979	0.324	132.379	1.626	You earn $5!	Correct Response!	1	279
n/a	n/a	LargeGain	133.995	2	135.978	1.5	137.478	0.324	137.878	1.626	You earn $5!	Correct Response!	1	279
n/a	n/a	NoMoneyStake	139.494	2	141.477	1.5	142.977	0.344	143.394	1.606	No money at stake!	Correct Response!	1	300
n/a	n/a	SmallGain	144.994	2	146.977	3.5	150.476	0.344	150.892	1.606	You earn $0.20!	Correct Response!	1	299
n/a	n/a	SmallLoss	152.492	2	154.475	2.0	156.475	0.344	156.891	1.606	You keep $0.20!	Correct Response!	1	289
n/a	n/a	SmallGain	158.491	2	160.474	2.5	162.974	0.344	163.39	1.606	You did not earn $0.20!	You pressed too slow!	0	0
n/a	n/a	SmallLoss	164.99	2	166.973	2.5	169.473	0.314	169.856	1.636	You keep $0.20!	Correct Response!	1	290
n/a	n/a	NoMoneyStake	171.489	2	173.472	4.0	177.471	0.314	177.854	1.636	No money at stake!	Correct Response!	1	259
n/a	n/a	LargeLoss	179.487	2	181.47	3.5	184.97	0.314	185.353	1.636	You keep $5!	Correct Response!	1	263
n/a	n/a	NoMoneyStake	186.986	2	188.969	1.5	190.469	0.314	190.852	1.636	No money at stake!	You pressed too slow!	0	0
n/a	n/a	LargeGain	192.485	2	194.468	3.0	197.468	0.314	197.851	1.636	You earn $5!	Correct Response!	1	277
n/a	n/a	NoMoneyStake	199.484	2	201.467	2.5	203.966	0.284	204.333	1.666	No money at stake!	You pressed too slow!	0	0
n/a	n/a	NoMoneyStake	205.983	2	207.966	2.0	209.965	0.284	210.332	1.666	No money at stake!	You pressed too slow!	0	0
n/a	n/a	SmallGain	211.982	2	213.965	1.5	215.464	0.284	215.831	1.666	You did not earn $0.20!	You pressed too slow!	0	0
