onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	NoMoneyStake	0.063	2	1.996	2.0	3.996	0.323	No money at stake!	4.396	1.627	1	249	Correct Response!
n/a	n/a	SmallGain	6.046	2	7.996	3.5	11.495	0.323	You earn $0.20!	11.895	1.627	1	238	Correct Response!
n/a	n/a	LargeLoss	13.545	2	15.495	2.0	17.495	0.323	You keep $5!	17.895	1.627	1	219	Correct Response!
n/a	n/a	SmallGain	19.511	2	21.495	1.5	22.994	0.323	You earn $0.20!	23.394	1.627	1	221	Correct Response!
n/a	n/a	LargeGain	25.044	2	26.994	4.0	30.994	0.273	You earn $5!	31.344	1.677	1	235	Correct Response!
n/a	n/a	LargeLoss	33.01	2	34.993	1.5	36.493	0.273	You lose $5!	36.843	1.677	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	38.51	2	40.493	3.5	43.993	0.273	No money at stake!	44.343	1.677	1	251	Correct Response!
n/a	n/a	LargeLoss	46.009	2	47.992	1.5	49.492	0.273	You keep $5!	49.842	1.677	1	249	Correct Response!
n/a	n/a	SmallGain	51.509	2	53.492	1.5	54.992	0.243	You did not earn $0.20!	55.308	1.707	0	0	You pressed too slow!
n/a	n/a	SmallLoss	57.042	2	58.991	2.5	61.491	0.243	You lose $0.20!	61.808	1.707	0	0	You pressed too soon!
n/a	n/a	SmallLoss	63.508	2	65.491	1.5	66.991	0.243	You keep $0.20!	67.307	1.707	1	219	Correct Response!
n/a	n/a	LargeGain	69.007	2	70.99	3.5	74.49	0.263	You earn $5!	74.823	1.687	1	223	Correct Response!
n/a	n/a	LargeLoss	76.507	2	78.49	1.5	79.99	0.263	You lose $5!	80.339	1.687	0	0	You pressed too slow!
