model,run,Lgain-Neut,Sgain-Neut,Lgain-Base,Sgain-Base
CueMod,02,3.2381770913280747,3.539000052388075,2.2109448475834674,2.1709588652960328
AntMod,02,11.476800505294245,12.065628030343868,5.800891642759912,5.6606620342555365
FixMod,02,3.4752009878710615,3.547027374983323,3.6599721460108356,3.562256200610478
CueMod,02,2.927569887153808,3.4910788174549925,1.7263206739380559,1.8765838958895016
AntMod,02,10.186370073787979,11.867068010677945,4.017542820622319,3.9584471188501755
FixMod,02,3.0789771597206457,3.47061822900579,3.1420944592900053,2.9606822536389124
CueMod,02,2.851344311822258,3.3359675743581665,1.6420237338325576,1.7529809082210623
AntMod,02,9.842940014080765,11.108276797579146,3.5329296140449844,3.327083479963183
FixMod,02,2.8937529790071337,3.1847748348930254,2.922803551639181,2.6285740842956513
CueMod,02,2.2987708739643167,2.585331927181587,1.4994242123470614,1.537209594404981
AntMod,02,7.863282052557396,8.551347039985577,3.284796144647937,3.053129802368644
FixMod,02,2.340831281010352,2.4583780738269674,2.7891104563731446,2.4655483791990105
CueMod,02,3.2381770913280747,3.539000052388075,2.2109448475834674,2.1709588652960328
AntMod,02,11.476800505294245,12.065628030343868,5.800891642759912,5.6606620342555365
FixMod,02,3.4752009878710615,3.547027374983323,3.6599721460108356,3.562256200610478
CueMod,02,2.927569887153808,3.4910788174549925,1.7263206739380559,1.8765838958895016
AntMod,02,10.186370073787979,11.867068010677945,4.017542820622319,3.9584471188501755
FixMod,02,3.0789771597206457,3.47061822900579,3.1420944592900053,2.9606822536389124
CueMod,02,2.851344311822258,3.3359675743581665,1.6420237338325576,1.7529809082210623
AntMod,02,9.842940014080765,11.108276797579146,3.5329296140449844,3.327083479963183
FixMod,02,2.8937529790071337,3.1847748348930254,2.922803551639181,2.6285740842956513
CueMod,02,2.2987708739643167,2.585331927181587,1.4994242123470614,1.537209594404981
AntMod,02,7.863282052557396,8.551347039985577,3.284796144647937,3.053129802368644
FixMod,02,2.340831281010352,2.4583780738269674,2.7891104563731446,2.4655483791990105
CueMod,02,3.2381770913280747,3.539000052388075,2.2109448475834674,2.1709588652960328
AntMod,02,11.476800505294245,12.065628030343868,5.800891642759912,5.6606620342555365
FixMod,02,3.4752009878710615,3.547027374983323,3.6599721460108356,3.562256200610478
CueMod,02,2.927569887153808,3.4910788174549925,1.7263206739380559,1.8765838958895016
AntMod,02,10.186370073787979,11.867068010677945,4.017542820622319,3.9584471188501755
FixMod,02,3.0789771597206457,3.47061822900579,3.1420944592900053,2.9606822536389124
CueMod,02,2.851344311822258,3.3359675743581665,1.6420237338325576,1.7529809082210623
AntMod,02,9.842940014080765,11.108276797579146,3.5329296140449844,3.327083479963183
FixMod,02,2.8937529790071337,3.1847748348930254,2.922803551639181,2.6285740842956513
CueMod,02,2.2987708739643167,2.585331927181587,1.4994242123470614,1.537209594404981
AntMod,02,7.863282052557396,8.551347039985577,3.284796144647937,3.053129802368644
FixMod,02,2.340831281010352,2.4583780738269674,2.7891104563731446,2.4655483791990105
CueMod,02,3.2381770913280747,3.539000052388075,2.2109448475834674,2.1709588652960328
AntMod,02,11.476800505294245,12.065628030343868,5.800891642759912,5.6606620342555365
FixMod,02,3.4752009878710615,3.547027374983323,3.6599721460108356,3.562256200610478
CueMod,02,2.927569887153808,3.4910788174549925,1.7263206739380559,1.8765838958895016
AntMod,02,10.186370073787979,11.867068010677945,4.017542820622319,3.9584471188501755
FixMod,02,3.0789771597206457,3.47061822900579,3.1420944592900053,2.9606822536389124
CueMod,02,2.851344311822258,3.3359675743581665,1.6420237338325576,1.7529809082210623
AntMod,02,9.842940014080765,11.108276797579146,3.5329296140449844,3.327083479963183
FixMod,02,2.8937529790071337,3.1847748348930254,2.922803551639181,2.6285740842956513
CueMod,02,2.2987708739643167,2.585331927181587,1.4994242123470614,1.537209594404981
AntMod,02,7.863282052557396,8.551347039985577,3.284796144647937,3.053129802368644
FixMod,02,2.340831281010352,2.4583780738269674,2.7891104563731446,2.4655483791990105
CueMod,02,3.2381770913280747,3.539000052388075,2.2109448475834674,2.1709588652960328
AntMod,02,11.476800505294245,12.065628030343868,5.800891642759912,5.6606620342555365
FixMod,02,3.4752009878710615,3.547027374983323,3.6599721460108356,3.562256200610478
CueMod,02,2.927569887153808,3.4910788174549925,1.7263206739380559,1.8765838958895016
AntMod,02,10.186370073787979,11.867068010677945,4.017542820622319,3.9584471188501755
FixMod,02,3.0789771597206457,3.47061822900579,3.1420944592900053,2.9606822536389124
CueMod,02,2.851344311822258,3.3359675743581665,1.6420237338325576,1.7529809082210623
AntMod,02,9.842940014080765,11.108276797579146,3.5329296140449844,3.327083479963183
FixMod,02,2.8937529790071337,3.1847748348930254,2.922803551639181,2.6285740842956513
CueMod,02,2.2987708739643167,2.585331927181587,1.4994242123470614,1.537209594404981
AntMod,02,7.863282052557396,8.551347039985577,3.284796144647937,3.053129802368644
FixMod,02,2.340831281010352,2.4583780738269674,2.7891104563731446,2.4655483791990105
