onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
n/a	n/a	SmallLoss	0.011	2	2.01	3.5	5.51	0.373	5.96	1.577	You keep $0.20!	Correct Response!	1	281
n/a	n/a	NoMoneyStake	7.526	2	9.509	3.0	12.509	0.373	12.959	1.577	No money at stake!	You pressed too slow!	0	0
n/a	n/a	SmallLoss	14.525	2	16.508	2.0	18.508	0.373	18.958	1.577	You keep $0.20!	Correct Response!	1	290
n/a	n/a	SmallGain	20.524	2	22.507	1.5	24.007	0.373	24.457	1.577	You earn $0.20!	Correct Response!	1	303
n/a	n/a	LargeGain	26.023	2	28.006	1.5	29.506	0.323	29.906	1.627	You earn $5!	Correct Response!	1	268
n/a	n/a	SmallGain	31.522	2	33.505	1.5	35.005	0.323	35.405	1.627	You earn $0.20!	Correct Response!	1	264
n/a	n/a	NoMoneyStake	37.021	2	39.004	1.5	40.504	0.323	40.904	1.627	No money at stake!	You pressed too soon!	0	0
n/a	n/a	LargeLoss	42.52	2	44.503	2.5	47.003	0.323	47.403	1.627	You keep $5!	Correct Response!	1	265
n/a	n/a	SmallGain	49.019	2	51.002	3.5	54.501	0.273	54.851	1.677	You did not earn $0.20!	You pressed too slow!	0	0
n/a	n/a	SmallGain	56.518	2	58.501	2.0	60.5	0.273	60.85	1.677	You did not earn $0.20!	You pressed too slow!	0	0
n/a	n/a	NoMoneyStake	62.517	2	64.5	4.0	68.499	0.273	68.849	1.677	No money at stake!	Correct Response!	1	272
n/a	n/a	SmallLoss	70.515	2	72.498	1.5	73.998	0.273	74.348	1.677	You lose $0.20!	You pressed too slow!	0	0
n/a	n/a	LargeGain	76.014	2	77.997	2.5	80.497	0.293	80.863	1.657	You earn $5!	Correct Response!	1	273
n/a	n/a	SmallGain	82.513	2	84.496	3.0	87.496	0.293	87.862	1.657	You did not earn $0.20!	You pressed too slow!	0	0
n/a	n/a	SmallLoss	89.512	2	91.495	1.5	92.995	0.293	93.361	1.657	You keep $0.20!	Correct Response!	1	270
n/a	n/a	NoMoneyStake	95.011	2	96.994	2.5	99.494	0.333	99.91	1.617	No money at stake!	Correct Response!	1	275
n/a	n/a	NoMoneyStake	101.51	2	103.493	1.5	104.993	0.333	105.409	1.617	No money at stake!	You pressed too slow!	0	0
n/a	n/a	SmallLoss	107.009	2	108.992	4.0	112.991	0.333	113.391	1.617	You keep $0.20!	Correct Response!	1	289
n/a	n/a	LargeLoss	115.008	2	116.991	3.5	120.49	0.333	120.89	1.617	You keep $5!	Correct Response!	1	277
n/a	n/a	LargeGain	122.506	2	124.489	4.0	128.489	0.333	128.889	1.617	You earn $5!	Correct Response!	1	270
n/a	n/a	LargeLoss	130.505	2	132.488	1.5	133.988	0.303	134.371	1.647	You lose $5!	You pressed too slow!	0	0
n/a	n/a	SmallLoss	136.004	2	137.987	2.0	139.987	0.303	140.37	1.647	You lose $0.20!	You pressed too soon!	0	0
n/a	n/a	LargeLoss	142.003	2	143.986	1.5	145.486	0.303	145.869	1.647	You lose $5!	You pressed too slow!	0	0
n/a	n/a	SmallGain	147.502	2	149.485	2.5	151.985	0.323	152.384	1.627	You earn $0.20!	Correct Response!	1	308
n/a	n/a	NoMoneyStake	154.001	2	155.984	2.0	157.984	0.323	158.383	1.627	No money at stake!	You pressed too slow!	0	0
n/a	n/a	LargeLoss	160.0	2	161.983	2.0	163.982	0.323	164.382	1.627	You keep $5!	Correct Response!	1	294
n/a	n/a	LargeGain	165.999	2	167.982	1.5	169.482	0.323	169.881	1.627	You earn $5!	Correct Response!	1	282
n/a	n/a	LargeLoss	171.498	2	173.481	4.0	177.48	0.343	177.897	1.607	You keep $5!	Correct Response!	1	275
n/a	n/a	LargeGain	179.496	2	181.479	3.5	184.979	0.343	185.395	1.607	You earn $5!	Correct Response!	1	280
n/a	n/a	LargeGain	186.995	2	188.978	1.5	190.478	0.343	190.894	1.607	You did not earn $5!	You pressed too slow!	0	0
n/a	n/a	SmallLoss	192.494	2	194.477	1.5	195.977	0.313	196.36	1.637	You keep $0.20!	Correct Response!	1	297
n/a	n/a	SmallGain	197.993	2	199.976	1.5	201.476	0.313	201.859	1.637	You earn $0.20!	Correct Response!	1	277
