onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
n/a	n/a	NoMoneyStake	203.492	2	205.475	2.0	207.475	0.313	207.858	1.637	No money at stake!	You pressed too slow!	0	0
n/a	n/a	LargeLoss	209.491	2	211.474	1.5	212.974	0.313	213.357	1.637	You keep $5!	Correct Response!	1	299
n/a	n/a	NoMoneyStake	214.99	2	216.973	1.5	218.473	0.283	218.84	1.667	No money at stake!	You pressed too slow!	0	0
n/a	n/a	LargeGain	220.489	2	222.472	3.0	225.472	0.283	225.838	1.667	You did not earn $5!	You pressed too slow!	0	0
n/a	n/a	LargeLoss	227.488	2	229.471	3.0	232.471	0.283	232.821	1.667	You keep $5!	Correct Response!	1	280
n/a	n/a	SmallGain	234.487	2	236.47	4.0	240.469	0.283	240.836	1.667	You did not earn $0.20!	You pressed too slow!	0	0
n/a	n/a	NoMoneyStake	242.486	2	244.469	1.5	245.968	0.263	246.302	1.687	No money at stake!	You pressed too slow!	0	0
n/a	n/a	SmallGain	247.985	2	249.968	2.0	251.967	0.263	252.301	1.687	You did not earn $0.20!	You pressed too slow!	0	0
n/a	n/a	SmallLoss	253.984	2	255.967	1.5	257.466	0.263	257.8	1.687	You lose $0.20!	You pressed too soon!	0	0
n/a	n/a	NoMoneyStake	259.483	2	261.466	3.5	264.965	0.263	265.298	1.687	No money at stake!	You pressed too slow!	0	0
n/a	n/a	SmallLoss	266.981	2	268.964	2.5	271.464	0.263	271.797	1.687	You lose $0.20!	You pressed too slow!	0	0
n/a	n/a	LargeGain	273.48	2	275.463	2.0	277.463	0.313	277.846	1.637	You earn $5!	Correct Response!	1	285
n/a	n/a	LargeLoss	279.479	2	281.462	2.0	283.462	0.313	283.845	1.637	You keep $5!	Correct Response!	1	278
n/a	n/a	SmallGain	285.478	2	287.461	1.5	288.961	0.313	289.344	1.637	You did not earn $0.20!	You pressed too slow!	0	0
n/a	n/a	SmallLoss	290.977	2	292.96	3.0	295.96	0.353	296.393	1.597	You keep $0.20!	Correct Response!	1	308
n/a	n/a	LargeLoss	297.976	2	299.959	1.5	301.459	0.353	301.892	1.597	You keep $5!	Correct Response!	1	279
n/a	n/a	LargeGain	303.475	2	305.458	2.0	307.458	0.353	307.891	1.597	You earn $5!	Correct Response!	1	296
n/a	n/a	LargeGain	309.474	2	311.457	1.5	312.957	0.323	313.357	1.627	You earn $5!	Correct Response!	1	301
