onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallLoss	0.021	2	2.005	2.0	4.004	0.306	You lose $0.20!	4.388	1.644	0	0	You pressed too slow!
n/a	n/a	LargeGain	6.021	2	8.004	4.0	12.004	0.306	You did not earn $5!	12.387	1.644	0	0	You pressed too slow!
n/a	n/a	SmallLoss	14.02	2	16.003	3.0	19.003	0.306	You keep $0.20!	19.387	1.644	1	302	Correct Response!
n/a	n/a	SmallGain	21.02	2	23.003	2.0	25.003	0.346	You earn $0.20!	25.436	1.604	1	254	Correct Response!
n/a	n/a	LargeLoss	27.019	2	29.002	2.0	31.002	0.346	You keep $5!	31.419	1.604	1	259	Correct Response!
n/a	n/a	NoMoneyStake	33.019	2	35.002	2.5	37.502	0.346	No money at stake!	37.935	1.604	1	247	Correct Response!
n/a	n/a	SmallGain	39.518	2	41.501	2.5	44.001	0.346	You did not earn $0.20!	44.434	1.604	0	0	You pressed too slow!
n/a	n/a	SmallGain	46.018	2	48.001	1.5	49.501	0.366	You earn $0.20!	49.951	1.584	1	255	Correct Response!
n/a	n/a	LargeGain	51.517	2	53.5	1.5	55.0	0.366	You earn $5!	55.45	1.584	1	241	Correct Response!
n/a	n/a	SmallLoss	57.017	2	59.0	2.0	61.0	0.366	You keep $0.20!	61.45	1.584	1	275	Correct Response!
n/a	n/a	LargeGain	63.016	2	64.999	2.5	67.499	0.336	You earn $5!	67.916	1.614	1	256	Correct Response!
n/a	n/a	LargeLoss	69.516	2	71.499	3.5	74.999	0.336	You keep $5!	75.415	1.614	1	242	Correct Response!
n/a	n/a	SmallLoss	77.015	2	78.998	3.5	82.498	0.336	You keep $0.20!	82.914	1.614	1	247	Correct Response!
n/a	n/a	NoMoneyStake	84.514	2	86.498	1.5	87.997	0.286	No money at stake!	88.364	1.664	0	0	You pressed too slow!
n/a	n/a	LargeLoss	90.014	2	91.997	4.0	95.997	0.286	You keep $5!	96.363	1.664	1	284	Correct Response!
n/a	n/a	NoMoneyStake	98.013	2	99.996	4.0	103.996	0.286	No money at stake!	104.363	1.664	0	0	You pressed too slow!
n/a	n/a	LargeLoss	106.013	2	107.996	3.0	110.996	0.286	You keep $5!	111.362	1.664	1	280	Correct Response!
n/a	n/a	SmallLoss	113.012	2	114.995	1.5	116.495	0.286	You lose $0.20!	116.862	1.664	0	0	You pressed too slow!
n/a	n/a	LargeGain	118.512	2	120.495	2.0	122.495	0.256	You did not earn $5!	122.828	1.694	0	0	You pressed too slow!
n/a	n/a	SmallLoss	124.511	2	126.494	4.0	130.494	0.256	You lose $0.20!	130.827	1.694	0	0	You pressed too slow!
n/a	n/a	SmallGain	132.51	2	134.493	1.5	135.993	0.256	You did not earn $0.20!	136.327	1.694	0	0	You pressed too slow!
n/a	n/a	LargeLoss	138.01	2	139.993	1.5	141.493	0.296	You keep $5!	141.86	1.654	1	260	Correct Response!
n/a	n/a	LargeGain	143.509	2	145.493	3.5	148.992	0.296	You did not earn $5!	149.376	1.654	0	0	You pressed too slow!
n/a	n/a	SmallGain	151.009	2	152.992	4.0	156.992	0.296	You earn $0.20!	157.375	1.654	1	273	Correct Response!
n/a	n/a	NoMoneyStake	159.008	2	160.991	2.0	162.991	0.336	No money at stake!	163.408	1.614	0	0	You pressed too slow!
n/a	n/a	LargeLoss	165.008	2	166.991	2.0	168.991	0.336	You lose $5!	169.407	1.614	0	0	You pressed too slow!
n/a	n/a	SmallGain	171.007	2	172.99	2.0	174.99	0.336	You earn $0.20!	175.407	1.614	1	285	Correct Response!
n/a	n/a	NoMoneyStake	177.007	2	178.99	3.0	181.99	0.336	No money at stake!	182.406	1.614	1	311	Correct Response!
n/a	n/a	SmallGain	184.006	2	185.989	3.5	189.489	0.336	You earn $0.20!	189.906	1.614	1	260	Correct Response!
n/a	n/a	NoMoneyStake	191.505	2	193.489	1.5	194.988	0.316	No money at stake!	195.388	1.634	0	0	You pressed too slow!
n/a	n/a	SmallGain	197.005	2	198.988	1.5	200.488	0.316	You earn $0.20!	200.888	1.634	1	265	Correct Response!
n/a	n/a	NoMoneyStake	202.505	2	204.488	2.0	206.487	0.316	No money at stake!	206.887	1.634	1	288	Correct Response!
n/a	n/a	LargeLoss	208.504	2	210.487	1.5	211.987	0.316	You lose $5!	212.387	1.634	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	214.003	2	215.987	3.5	219.486	0.316	No money at stake!	219.886	1.634	0	0	You pressed too slow!
n/a	n/a	LargeLoss	221.503	2	223.486	1.5	224.986	0.316	You keep $5!	225.386	1.634	1	291	Correct Response!
n/a	n/a	NoMoneyStake	227.002	2	228.986	1.5	230.486	0.296	No money at stake!	230.869	1.654	1	271	Correct Response!
n/a	n/a	SmallLoss	232.502	2	234.485	1.5	235.985	0.296	You keep $0.20!	236.368	1.654	1	234	Correct Response!
n/a	n/a	LargeGain	238.002	2	239.985	1.5	241.485	0.296	You earn $5!	241.851	1.654	1	233	Correct Response!
n/a	n/a	NoMoneyStake	243.501	2	245.484	1.5	246.984	0.296	No money at stake!	247.367	1.654	0	0	You pressed too slow!
n/a	n/a	LargeGain	249.001	2	250.984	2.0	252.984	0.296	You earn $5!	253.35	1.654	1	262	Correct Response!
n/a	n/a	LargeLoss	255.0	2	256.983	2.5	259.483	0.266	You keep $5!	259.833	1.684	1	234	Correct Response!
n/a	n/a	LargeGain	261.5	2	263.483	3.0	266.482	0.266	You earn $5!	266.833	1.684	1	260	Correct Response!
n/a	n/a	LargeLoss	268.499	2	270.482	1.5	271.982	0.266	You lose $5!	272.332	1.684	0	0	You pressed too slow!
n/a	n/a	LargeGain	273.998	2	275.982	1.5	277.482	0.236	You did not earn $5!	277.798	1.714	0	0	You pressed too slow!
