onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
n/a	n/a	NoMoneyStake	0.016	2	1.999	2.0	3.999	0.5	4.582	1.45	No money at stake!	Correct Response!	1	297
n/a	n/a	NoMoneyStake	6.016	2	7.999	1.5	9.498	0.5	10.082	1.45	No money at stake!	Correct Response!	1	277
n/a	n/a	LargeLoss	11.515	2	13.498	2.5	15.997	0.5	16.564	1.45	You keep $5!	Correct Response!	1	314
n/a	n/a	NoMoneyStake	18.014	2	19.997	1.5	21.496	0.5	22.08	1.45	No money at stake!	Correct Response!	1	295
n/a	n/a	LargeGain	23.513	2	25.496	1.5	26.996	0.5	27.562	1.45	You earn $5!	Correct Response!	1	242
n/a	n/a	SmallLoss	29.012	2	30.995	1.5	32.495	0.5	33.078	1.45	You keep $0.20!	Correct Response!	1	287
n/a	n/a	LargeLoss	34.511	2	36.494	4.0	40.493	0.45	41.01	1.5	You keep $5!	Correct Response!	1	297
n/a	n/a	NoMoneyStake	42.51	2	44.493	3.5	47.992	0.45	48.526	1.5	No money at stake!	Correct Response!	1	285
n/a	n/a	SmallGain	50.009	2	51.992	2.5	54.491	0.45	55.008	1.5	You earn $0.20!	Correct Response!	1	274
n/a	n/a	LargeLoss	56.508	2	58.491	2.0	60.49	0.45	61.007	1.5	You keep $5!	Correct Response!	1	331
n/a	n/a	SmallLoss	62.507	2	64.49	1.5	65.989	0.4	66.456	1.55	You keep $0.20!	Correct Response!	1	303
n/a	n/a	SmallGain	68.006	2	69.989	3.0	72.988	0.4	73.472	1.55	You did not earn $0.20!	You pressed too soon!	0	0
n/a	n/a	LargeLoss	75.005	2	76.988	1.5	78.488	0.4	78.954	1.55	You keep $5!	Correct Response!	1	372
n/a	n/a	SmallGain	80.504	2	82.487	1.5	83.987	0.37	84.437	1.58	You earn $0.20!	Correct Response!	1	288
n/a	n/a	SmallGain	86.003	2	87.986	2.0	89.986	0.37	90.436	1.58	You earn $0.20!	Correct Response!	1	305
n/a	n/a	LargeLoss	92.002	2	93.985	2.0	95.985	0.37	96.435	1.58	You keep $5!	Correct Response!	1	282
n/a	n/a	NoMoneyStake	98.001	2	99.984	2.5	102.484	0.34	102.9	1.61	No money at stake!	Correct Response!	1	286
n/a	n/a	LargeLoss	104.5	2	106.483	1.5	107.983	0.34	108.399	1.61	You keep $5!	Correct Response!	1	295
n/a	n/a	LargeGain	109.999	2	111.982	3.5	115.482	0.34	115.898	1.61	You earn $5!	Correct Response!	1	288
n/a	n/a	LargeGain	117.498	2	119.481	1.5	120.981	0.34	121.397	1.61	You did not earn $5!	You pressed too slow!	0	0
