onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
n/a	n/a	SmallLoss	0.019	2	2.002	1.5	3.501	0.319	3.901	1.631	You keep $0.20!	Correct Response!	1	307
n/a	n/a	LargeLoss	5.518	2	7.501	3.5	11.0	0.319	11.4	1.631	You keep $5!	Correct Response!	1	295
n/a	n/a	NoMoneyStake	13.017	2	15.0	2.5	17.499	0.319	17.899	1.631	No money at stake!	Correct Response!	1	316
n/a	n/a	LargeLoss	19.516	2	21.499	3.0	24.499	0.319	24.898	1.631	You keep $5!	Correct Response!	1	292
n/a	n/a	SmallGain	26.515	2	28.498	4.0	32.497	0.269	32.847	1.681	You did not earn $0.20!	You pressed too slow!	0	0
n/a	n/a	LargeGain	34.514	2	36.497	1.5	37.997	0.269	38.347	1.681	You did not earn $5!	You pressed too slow!	0	0
n/a	n/a	SmallLoss	40.013	2	41.996	4.0	45.995	0.269	46.345	1.681	You lose $0.20!	You pressed too slow!	0	0
n/a	n/a	SmallGain	48.012	2	49.995	2.0	51.995	0.289	52.361	1.661	You did not earn $0.20!	You pressed too slow!	0	0
n/a	n/a	SmallLoss	54.011	2	55.994	1.5	57.494	0.289	57.86	1.661	You lose $0.20!	You pressed too slow!	0	0
n/a	n/a	SmallLoss	59.51	2	61.493	3.0	64.493	0.289	64.859	1.661	You keep $0.20!	Correct Response!	1	288
n/a	n/a	LargeGain	66.509	2	68.492	4.0	72.492	0.339	72.908	1.611	You earn $5!	Correct Response!	1	297
n/a	n/a	LargeGain	74.508	2	76.491	2.5	78.991	0.339	79.408	1.611	You did not earn $5!	You pressed too slow!	0	0
n/a	n/a	NoMoneyStake	81.007	2	82.99	1.5	84.49	0.339	84.907	1.611	No money at stake!	Correct Response!	1	323
n/a	n/a	LargeGain	86.506	2	88.489	1.5	89.989	0.339	90.406	1.611	You earn $5!	Correct Response!	1	303
n/a	n/a	SmallGain	92.006	2	93.989	1.5	95.489	0.359	95.922	1.591	You earn $0.20!	Correct Response!	1	307
n/a	n/a	LargeLoss	97.505	2	99.488	1.5	100.988	0.359	101.421	1.591	You lose $5!	You pressed too slow!	0	0
n/a	n/a	SmallGain	103.004	2	104.987	2.5	107.487	0.359	107.92	1.591	You earn $0.20!	Correct Response!	1	301
n/a	n/a	SmallGain	109.503	2	111.486	3.0	114.486	0.339	114.902	1.611	You earn $0.20!	Correct Response!	1	294
n/a	n/a	NoMoneyStake	116.502	2	118.485	2.0	120.485	0.339	120.902	1.611	No money at stake!	You pressed too slow!	0	0
